224,624,140,901,460,133,375,661,452,107,
886,343,997,496,379,851,928,365,502,764,
322,278,123,104,657,389,967,933,521,170,
944,228,653,204,49,416,724,53,420,332,
418,892,692,306,105,661,710,353,510,767,
575,705,532,47,103,815,412,849,179,462,
411,103,323,326,688,275,851,848,613,5,
879,277,234,744,358,53,230,527,253,932,
382,499,611,400,116,49,819,705,779,81,
177,957,638,646,236,615,587,204,756,272,
207,900,863,374,700,568,279,409,952,85,
364,195,146,803,267,763,719,629,372,233,
433,80,688,184,127,117,13,1001,369,941,
664,683,662,88,25,753,590,314,942,286,
928,384,399,119,304,376,494,602,186,189,
304,15,745,92,475,921,991,572,742,341,
215,839,417,433,441,633,477,253,140,161,
456,254,944,634,699,924,125,729,376,402,
43,159,831,415,698,410,40,957,553,732,
241,728,291,367,512,818,630,621,731,212,
876,231,110,676,676,599,453,393,146,386,
772,720,416,282,587,670,649,23,8,472,
73,8,679,608,129,679,239,97,67,110,
227,486,50,615,764,253,91,98,900,772,
871,413,403,544,511,525,427,871,871,605,
466,405,175,799,187,784,893,851,333,498,
756,540,695,459,713,530,327,525,12,153,
177,528,695,94,781,485,940,685,464,66,
228,946,512,462,797,851,228,369,793,444,
86,563,595,515,99,958,988,980,364,112,
439,540,534,647,104,527,798,972,416,451,
943,575,182,828,815,477,802,724,965,651,
16,414,991,408,840,79,500,716,940,402,
127,15,689,925,873,511,943,872,754,537,
936,412,694,60,908,784,432,537,34,503,
462,890,48,523,725,55,567,938,391,966,
503,772,230,243,311,180,492,513,900,452,
91,768,621,241,120,628,405,740,180,138,
732,498,129,915,389,206,946,574,98,175,
921,241,564,533,565,238,254,144,584,554,
912,502,199,583,136,944,275,613,87,92,
553,405,242,958,121,745,783,270,726,419,
800,363,82,819,222,327,140,784,51,326,
560,647,251,713,140,118,115,618,370,16,
208,689,522,255,665,887,937,759,110,59,
18,562,523,509,56,168,301,411,580,87,
660,476,231,530,273,64,542,522,737,537,
275,878,934,303,181,113,967,345,455,517,
551,279,386,396,492,335,316,323,951,199,
668,555,47,475,968,668,123,555,146,775,
452,201,669,155,648,566,303,341,521,546,
749,156,295,287,386,784,1,400,536,125,
240,900,655,813,817,903,219,434,380,877,
87,550,37,863,841,801,75,404,239,326,
815,792,174,710,459,970,57,849,654,564,
772,38,66,801,154,835,461,368,692,162,
60,292,316,511,270,767,382,948,347,975,
41,243,620,764,79,929,379,639,836,102,
417,685,382,926,248,477,505,901,280,944,
296,294,724,673,440,344,205,628,372,416,
720,243,643,938,691,67,339,356,808,48,
866,649,827,100,776,278,46,337,2,59,
607,32,325,945,942,998,634,889,326,294,
704,402,703,972,109,477,463,992,564,540,
667,592,851,752,303,32,700,185,955,420,
258,79,1,501,129,704,309,911,316,874,
513,826,914,174,935,78,983,151,289,819,
558,586,313,729,698,227,588,960,88,343,
73,789,647,422,477,1000,265,139,130,715,
166,944,724,660,405,820,67,113,265,260,
879,150,45,318,161,935,735,696,992,55,
65,110,781,380,636,35,359,447,26,536,
874,564,521,323,399,369,352,593,91,544,
900,447,85,514,554,523,387,515,220,183,
81,365,485,451,445,388,531,871,562,305,
623,713,459,70,347,4,227,426,92,607,
976,702,226,678,396,691,155,570,741,173,
748,379,941,176,484,176,778,844,407,702,
779,557,965,813,4,359,384,1,257,633,
590,681,237,855,853,337,713,359,155,354,
93,470,438,586,48,179,197,651,890,647,
557,849,688,250,869,822,208,946,243,916,
254,384,448,354,846,875,52,7,717,380,
371,916,408,567,939,876,166,50,174,425,
316,719,522,218,870,624,749,882,925,971,
616,275,931,97,97,403,104,391,793,100,
249,799,791,69,569,467,950,506,79,445,
970,17,465,825,182,759,63,5,10,130,
279,431,456,60,50,2,776,56,503,585,
579,456,345,517,226,912,517,526,654,989,
683,197,992,788,747,810,859,276,991,230,
725,383,223,240,340,906,518,848,142,952,
396,603,11,565,405,496,119,772,420,112,
429,545,884,487,179,379,388,411,744,211,
477,724,875,333,949,381,428,435,862,124,
335,912,493,671,655,565,188,875,241,629,
668,57,604,169,857,928,167,637,980,606,
833,446,943,788,680,318,658,410,243,46,
649,421,751,701,300,13,176,142,949,23,
892,140,47,656,992,14,990,94,433,457,
725,498,88,10,415,759,734,876,355,830,
538,575,490,470,325,907,901,120,668,980,
980,375,309,420,14,721,600,215,512,309,
76,795,754,66,190,992,596,996,129,445,
798,234,696,389,873,399,290,211,472,897,
81,209,884,478,748,366,731,694,1,25,
19,242,828,745,282,618,222,867,131,317,
726,385,137,269,324,758,407,77,216,429,
886,534,666,134,69,139,712,663,147,787,
800,282,946,479,552,555,806,19,918,937,
80,583,633,366,237,120,408,988,51,42,
461,727,157,333,373,575,655,17,796,490,
137,266,577,728,149,726,279,342,790,482,
475,578,936,204,956,261,403,433,672,6,
124,484,956,380,904,422,657,436,568,669,
74,632,473,501,572,306,383,46,859,813,
771,733,517,247,727,84,42,56,481,160,
341,597,423,675,988,616,204,948,902,709,
326,867,322,158,515,647,143,425,148,458,
758,761,703,460,852,691,8,120,670,955,
751,444,814,335,407,94,544,258,731,56,
698,968,820,830,771,62,834,165,263,523,
6,976,780,362,395,272,806,719,183,209,
636,545,82,184,692,608,387,139,606,286,
758,899,762,196,359,930,893,506,541,678,
817,617,275,223,838,925,29,34,961,558,
688,316,849,243,991,914,342,587,796,309,
375,591,32,209,1,506,732,832,736,442,
